cloudiness,country,date,max_temp,lat,lng,wind_speed,city_name
11,NZ,1631672003,51.48,-46.1927,168.8643,5.93,Mataura
75,AU,1631671761,54.05,-42.8794,147.3294,1.99,Hobart
100,RU,1631672005,40.08,58.3631,82.8265,4.85,Togur
100,IS,1631671972,51.31,64.2539,-15.2082,16.15,Hofn
40,BR,1631672008,84.25,-7.2294,-44.5561,5.53,Uruçuí
94,IS,1631671983,46.13,66.0449,-17.3389,12.93,Husavik
25,RU,1631672010,63.61,50.7214,136.6319,4.7,Solnechnyy
83,JM,1631672011,78.98,18.0264,-77.8487,4.07,Black River
1,US,1631672013,72.1,34.6391,-120.4579,8.05,Lompoc
0,PF,1631672014,83.93,-17.5667,-149.8667,17.18,Haapiti
90,US,1631672015,51.69,57.0531,-135.33,6.91,Sitka
59,AR,1631671828,28.62,-54.8,-68.3,5.19,Ushuaia
15,GL,1631672018,37.99,60.1432,-45.2371,8.48,Nanortalik
59,ZA,1631671886,53.11,-33.9258,18.4232,9.44,Cape Town
100,AU,1631672020,53.44,-38.2667,141.9667,7.02,Codrington
96,AR,1631672018,50.58,-24.7859,-65.4117,1.01,Salta
75,US,1631672024,87.78,22.0752,-159.319,4.0,Kapaa
100,JP,1631672025,77.02,34.9833,139.8667,11.83,Tateyama
91,RU,1631672027,54.91,51.5833,113.0333,8.1,Drovyanaya
17,MV,1631671940,83.68,-0.6,73.0833,11.59,Hithadhoo
98,AU,1631672029,63.05,-33.65,115.3333,14.34,Busselton
100,CA,1631672030,34.92,63.7506,-68.5145,1.59,Iqaluit
92,AU,1631672032,53.71,-42.7826,147.0587,3.0,New Norfolk
19,PG,1631672033,86.22,-2.6741,141.3028,4.76,Vanimo
0,CL,1631671924,32.11,-53.15,-70.9167,17.27,Punta Arenas
2,BB,1631672036,82.29,13.0667,-59.5333,13.35,Oistins
32,EC,1631672037,67.55,-0.7393,-90.3518,3.0,Puerto Ayora
40,US,1631672038,56.71,57.79,-152.4072,5.75,Saint Paul Harbor
7,NC,1631672040,72.16,-22.6667,167.4833,21.16,Vao
20,PT,1631672041,65.95,37.3191,-8.8033,1.32,Aljezur
31,PT,1631672042,74.03,32.6667,-17.1,7.7,Ponta do Sol
21,AU,1631672043,68.41,-28.7667,114.6,8.05,Geraldton
97,US,1631671968,72.73,42.6001,-73.9662,7.49,Albany
30,CA,1631672046,45.64,69.4541,-133.0374,8.95,Tuktoyaktuk
100,ZA,1631672047,52.9,-34.4187,19.2345,8.25,Hermanus
75,US,1631671984,39.22,71.2906,-156.7887,9.22,Barrow
99,PE,1631672050,62.58,-10.0681,-78.1522,10.89,Huarmey
98,NZ,1631671908,51.8,-46.6,168.3333,16.35,Bluff
48,ID,1631672053,77.54,-3.4626,120.2147,4.45,Kaili
100,ZA,1631671911,48.27,-34.5322,20.0403,4.9,Bredasdorp
100,OM,1631672056,82.69,22.9333,57.5333,0.11,Nizwá
90,CA,1631671850,50.52,62.456,-114.3525,10.36,Yellowknife
99,CM,1631672058,65.8,3.9833,13.1833,1.86,Abong Mbang
39,RE,1631672060,67.59,-21.3585,55.7679,6.67,Saint-Philippe
100,MY,1631672061,73.78,1.2376,111.4621,2.04,Sri Aman
26,KI,1631672062,82.71,3.0707,172.7902,11.63,Butaritari
100,NZ,1631672064,51.42,-39.2,173.8833,4.56,Okato
20,MY,1631672065,82.33,5.4112,100.3354,0.0,George Town
20,TO,1631672067,80.76,-21.2,-175.2,5.75,Vaini
100,ZA,1631672068,61.05,-33.5906,26.891,21.34,Port Alfred
53,LK,1631672069,81.68,7.4167,81.8167,11.65,Kalmunai
100,CN,1631672071,56.61,35.6003,103.2064,4.29,Linxia Chengguanzhen
100,BR,1631671907,64.2,-24.7911,-50.0119,0.98,Castro
15,MU,1631672073,68.22,-20.3428,57.7575,10.63,Bambous Virieux
56,PF,1631672074,74.26,-23.1203,-134.9692,13.06,Rikitea
100,CL,1631672076,47.48,-37.6167,-73.65,7.7,Lebu
100,GL,1631672077,41.16,65.6145,-37.6368,2.33,Tasiilaq
75,IS,1631672078,46.87,63.8424,-22.4338,14.97,Grindavik
0,LY,1631671929,73.42,29.1081,21.2869,9.1,Awjilah
43,SS,1631672081,65.86,4.9158,29.4742,0.92,Maridi
100,SB,1631672082,85.21,-8.145,159.5921,9.37,Buala
96,PG,1631672084,83.25,-2.0226,147.2712,7.99,Lorengau
36,NP,1631672085,64.04,29.2747,82.1838,2.21,Jumla
46,TZ,1631672086,55.89,-9.3,32.7667,4.47,Tunduma
100,RU,1631671932,45.57,71.9167,114.0833,7.72,Saskylakh
100,SA,1631671820,78.94,24.6877,46.7219,10.98,Riyadh
100,CA,1631672091,45.79,60.7522,-137.5108,4.59,Haines Junction
95,NZ,1631672030,63.32,-35.1,173.7833,9.08,Kaeo
100,RU,1631671975,40.28,69.4865,88.3972,7.09,Talnakh
0,PF,1631672095,78.24,-9.8,-139.0333,20.47,Atuona
85,BR,1631672097,74.35,-9.1667,-60.6333,2.77,Aripuanã
100,JP,1631672098,75.92,33.7333,135.3667,1.99,Tanabe
36,VE,1631672100,69.98,7.7669,-72.225,2.19,San Cristobal
20,US,1631672101,82.13,19.7297,-155.09,9.22,Hilo
40,MU,1631672104,68.36,-20.5167,57.5167,6.91,Souillac
75,SJ,1631672105,33.64,78.2186,15.6401,6.91,Longyearbyen
75,IS,1631672106,47.52,64.0049,-22.5624,14.97,Keflavik
76,PH,1631672108,86.02,6.7085,121.9711,2.1,Isabela
90,AU,1631672109,68.07,-24.8667,113.6333,6.91,Carnarvon
100,IT,1631672110,68.25,45.4612,8.0137,2.98,Bose
100,SO,1631672112,76.82,8.4054,48.4845,24.92,Garoowe
100,MM,1631672113,80.38,16.7833,94.7333,2.26,Pathein
1,US,1631671946,70.65,41.3712,-73.414,5.75,Bethel
100,JP,1631672117,77.11,35.1333,140.3,11.74,Katsuura
0,NA,1631672118,51.1,-26.6481,15.1594,13.78,Lüderitz
10,RU,1631671936,46.29,59.7035,30.7861,8.3,Nikolskoye
100,GA,1631672120,76.3,-0.7193,8.7815,10.98,Port-Gentil
92,KE,1631672122,66.61,3.5167,39.0584,10.85,Moyale
56,CA,1631672123,48.92,68.2191,-135.0107,1.66,Aklavik
20,CV,1631672124,79.34,14.9215,-23.5087,12.66,Praia
18,RU,1631671919,39.97,73.5069,80.5464,18.88,Dikson
60,BR,1631671892,72.43,-22.9661,-42.0278,21.79,Arraial do Cabo
0,TJ,1631672129,66.0,39.4952,67.6093,6.69,Panjakent
87,ID,1631671906,80.69,-3.8004,102.2655,1.9,Bengkulu
0,CN,1631672133,82.27,29.0361,114.5636,3.4,Yining
100,RU,1631672135,54.54,51.2833,114.9167,2.42,Mogoytuy
0,US,1631672136,77.25,39.447,-86.1758,7.61,Bud
94,GA,1631672139,75.56,-2.65,10.0,4.72,Gamba
86,PH,1631672141,84.96,7.9868,117.0645,6.29,Balabac
22,PT,1631672143,66.61,37.7167,-25.4333,3.51,Vila Franca do Campo
100,ZA,1631672144,63.45,-33.0153,27.9116,19.75,East London
90,RU,1631672146,41.86,51.6222,37.1244,8.3,Tim
0,CL,1631672147,58.84,-28.5708,-70.7581,3.15,Vallenar
13,SA,1631672148,83.93,25.0213,37.2685,11.36,Umluj
98,RU,1631672150,53.74,43.2577,42.6443,5.26,El'brus
20,CA,1631672151,41.16,55.7435,-97.8558,0.0,Thompson
0,NA,1631672152,48.85,-22.116,14.2845,11.63,Henties Bay
0,AR,1631672154,38.03,-38.5473,-58.7368,9.19,Necochea
100,IS,1631672155,48.51,64.8945,-23.7142,20.87,Olafsvik
99,CA,1631672156,54.91,54.0524,-128.6534,1.01,Kitimat
100,RU,1631672158,41.97,68.75,161.3,3.83,Cherskiy
